Model,F1-Mean,F1-Std,Accuracy,ROC-AUC,Horizon,CountryFeatures
XGBoost,0.7032330406550154,0.0090008712494436,0.8892825350977901,0.9286301176230012,soon,included
KNN,0.6976683589512145,0.0125492973073623,0.8840467608892004,0.886124660662541,soon,included
LightGBM,0.689581946734618,0.0082286422217102,0.8877424149318973,0.9297469316964896,soon,included
Random Forest,0.6890586387883122,0.0117153845591161,0.8833539795281048,0.9183647758561104,soon,included
Gradient Boosting,0.5917964311297788,0.0233447827525132,0.859332272714742,0.8890151751917568,soon,included
SVM,0.5888933526304917,0.012789798891938,0.8509397501647398,0.8562349754817479,soon,included
Logistic Regression,0.4614409133357657,0.0198205739560772,0.8203724437179988,0.8137525277150821,soon,included
LightGBM,0.5830151258570613,0.0177735338969448,0.8520941881480466,0.8688510292702356,soon,excluded
XGBoost,0.5757647825268287,0.013568185842283,0.8479359289142472,0.8601418714455065,soon,excluded
KNN,0.5592966064130582,0.0141005214872065,0.8390049749474062,0.800133843748027,soon,excluded
Random Forest,0.5464951818417169,0.0081323081671813,0.8317679278779357,0.8253266038721113,soon,excluded
Gradient Boosting,0.5439889916646303,0.0160941085386902,0.8448569632219091,0.848184436742395,soon,excluded
Logistic Regression,0.4635503486580844,0.0219015419586064,0.8299200267496427,0.7886941733828452,soon,excluded
SVM,0.4517189164780482,0.0282652374298149,0.837619441867993,0.7788536283519816,soon,excluded
XGBoost,0.8472473474329606,0.0034702449110451,0.901524824492523,0.96559718677147,6m,included
LightGBM,0.8410329968734171,0.0045294908458485,0.8991373951646107,0.9636894210998508,6m,included
Random Forest,0.837557373529731,0.0059576059572629,0.8957496110126477,0.9560813723007812,6m,included
KNN,0.797829296358014,0.0072562792906349,0.8698025464924738,0.9202638597337816,6m,included
Gradient Boosting,0.771859238232922,0.0053207251523308,0.860255912029721,0.9253878547575534,6m,included
SVM,0.7506294857589315,0.0071806339002093,0.8556362036731553,0.9081129466228932,6m,included
Logistic Regression,0.6935525558178358,0.0025060200227403,0.8127503962498329,0.8546831880137921,6m,included
LightGBM,0.7624174335817571,0.0058022173093256,0.851247708983807,0.901852005031499,6m,excluded
XGBoost,0.7564820806598942,0.0074488658759444,0.8453958985659714,0.8991196494617537,6m,excluded
Gradient Boosting,0.7414299908476332,0.003675304128508,0.8425473165430711,0.8826857423893134,6m,excluded
Random Forest,0.7232249219124158,0.0067796481478966,0.825608692211034,0.8796664893778525,6m,excluded
SVM,0.7224866428326029,0.0078334747016434,0.8323844087288494,0.8386117574008243,6m,excluded
KNN,0.7197153803455816,0.0074736669133421,0.8229907606425725,0.8460109763353115,6m,excluded
Logistic Regression,0.7033343199767011,0.0054800371383246,0.8189100172728466,0.8101577947639393,6m,excluded
