CustomerID,AccountNumber,population,total_orders,total_spent,avg_order_value,days_since_last_purchase,days_since_first_purchase,unique_products,avg_days_between_orders,orders_per_month,A3,A2,A1,has_purchase_history,has_repeat_order_history,population_missing,favorite_category_Bikes,favorite_category_Clothing,favorite_category_Components,favorite_category_Unknown,distance_to_major_city_km,has_geographic_match,city_class_major,is_recent_buyer,is_at_risk,is_churned,value_per_product,spending_intensity,is_frequent_buyer,frequency_score,consistency_score,customer_lifetime,engagement_score,product_diversity,recency_monetary,frequency_monetary,recency_segment_recent,recency_segment_moderate,recency_segment_old,recency_segment_very_old,spending_tier_low,spending_tier_medium,country_Australia,country_France,country_Germany,country_United Kingdom,country_United States
120,AW00000120,107037,0,0,0,0,0,0,279.25,0,never_purchased,0,0,0,0,1,0,0,0,1,-1,0,-1,1,0,0,0,0,0,0,0.003568243,0,0.3010704727921499,0,0,0,0,0,0,0,1,0,0,0,0,0,0
276,AW00000276,369935,0,0,0,0,0,0,279.25,0,never_purchased,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0.003568243,0,0.3010704727921499,0,0,0,0,0,0,0,1,0,0,0,0,0,1
12465,AW00012465,107037,1,33.43,11.143333,120,120,3,279.25,1,existing_returned,1,1,1,0,1,0,0,0,0,-1,0,-1,0,1,0,11.143333333333333,0.27858333333333335,0,0.4,0.003568243,120,0.38684366866843856,3,4011.6,33.43,0,1,0,0,1,0,0,0,0,1,0
12510,AW00012510,14017,2,5302.318749999999,2023.375,142,701,2,559,0.105263158,existing_returned,1,1,1,1,0,1,0,0,0,26.64012608,1,0,0,1,0,2651.1593749999997,7.563935449358059,0,0.042105263,0.001785714,701,0.23335415090970102,1,752929.2625,558.1388157855666,0,1,0,0,0,0,0,1,0,0,0
12833,AW00012833,4679500,1,2049.0982,2023.375,216,216,1,279.25,1,existing_returned,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,2049.0982,9.486565741,0,0.4,0.003568243,216,0.3495386311398263,1,442605.21119999996,2049.0982,0,0,1,0,0,1,0,0,1,0,0
14429,AW00014429,11262000,2,5302.318749999999,1493.8075,26,850,4,824,0.071428571,existing_returned,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1325.5796874999999,6.238022058823529,0,0.028571428571200003,0.001212121,850,0.291843359,2,137860.28749999998,378.73705356839866,0,0,0,0,0,0,0,0,0,1,0
14981,AW00014981,11262000,2,71.27,17.8175,66,66,4,0,2,existing_not_returned,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,17.8175,1.0798484848484848,1,0.8,1,66,0.8740603248259862,2,4703.82,142.54,1,0,0,0,0,1,0,0,0,1,0
16940,AW00016940,155749,1,2443.35,2023.375,350,350,1,279.25,1,existing_returned,0,1,1,0,0,1,0,0,0,123.5789111714904,1,0,0,0,1,2443.35,6.981,0,0.4,0.003568243,350,0.3142173259390031,1,855172.5,2443.35,0,0,1,0,0,0,0,0,1,0,0
17394,AW00017394,107037,0,0,0,0,0,0,279.25,0,new_customer,1,1,0,0,1,0,0,0,1,-1,0,-1,1,0,0,0,0,0,0,0.003568243,0,0.3010704727921499,0,0,0,0,0,0,0,1,0,0,0,0,0,1
18725,AW00018725,197451,2,5302.318749999999,1208.918,124,750,5,626,0.1,existing_not_returned,0,0,1,1,0,0,0,0,0,598.0824141186641,1,0,0,1,0,1060.46375,7.069758333333333,0,0.04,0.001594896,750,0.24040484926761968,2.5,657487.5249999999,530.231875,0,1,0,0,0,0,1,0,0,0,0
19608,AW00019608,107037,1,42.97,14.323333,21,21,3,279.25,1,existing_returned,1,1,1,0,1,0,0,0,0,-1,0,-1,1,0,0,14.323333333333332,2.046190476190476,0,0.4,0.003568243,21,0.4447492292688338,3,902.37,42.97,0,0,0,0,1,0,1,0,0,0,0
20079,AW00020079,97812,0,0,0,0,0,0,279.25,0,new_customer,0,1,0,0,0,0,0,0,1,9.814942236411246,1,0,1,0,0,0,0,0,0,0.003568243,0,0.3010704727921499,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20113,AW00020113,17149,0,0,0,0,0,0,279.25,0,new_customer,0,1,0,0,0,0,0,0,1,9.062546781848994,1,0,1,0,0,0,0,0,0,0.003568243,0,0.3010704727921499,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20829,AW00020829,107037,2,1962.46,490.615,46,401,4,355,0.166666667,existing_not_returned,0,0,1,1,1,1,0,0,0,-1,0,-1,0,0,0,490.615,4.893915211970075,0,0.066666667,0.002808989,401,0.29393272096000705,2,90273.16,327.07666666535835,1,0,0,0,0,1,0,0,1,0,0
21032,AW00021032,107037,0,0,0,0,0,0,279.25,0,new_customer,0,1,0,0,1,0,0,0,1,-1,0,-1,1,0,0,0,0,0,0,0.003568243,0,0.3010704727921499,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21086,AW00021086,142308,0,0,0,0,0,0,279.25,0,new_customer,1,1,0,0,0,0,0,0,1,164.7242508,1,0,1,0,0,0,0,0,0,0.003568243,0,0.3010704727921499,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21133,AW00021133,22303,0,0,0,0,0,0,279.25,0,new_customer,1,1,0,0,0,0,0,0,1,2.6515635322367923,1,0,1,0,0,0,0,0,0,0.003568243,0,0.3010704727921499,0,0,0,0,0,0,0,1,0,0,1,0,0,0
21603,AW00021603,135591,1,567.76,141.94,175,175,4,279.25,1,existing_not_returned,0,0,1,0,0,0,0,0,0,127.24324437589812,1,0,0,1,0,141.94,3.244342857142857,0,0.4,0.003568243,175,0.3638482505699277,4,99358,567.76,0,1,0,0,0,1,0,0,0,0,1
22098,AW00022098,107037,1,69.97,23.323333,30,30,3,279.25,1,existing_not_returned,0,0,1,0,1,0,0,0,0,-1,0,-1,1,0,0,23.323333333333334,2.332333333333333,0,0.4,0.003568243,30,0.4382856626655677,3,2099.1,69.97,0,0,0,0,0,1,0,0,0,0,1
22373,AW00022373,107037,1,3578.27,2023.375,769,769,1,279.25,1,existing_returned,1,1,1,0,1,1,0,0,0,-1,0,-1,0,0,1,3578.27,4.653146944083225,0,0.4,0.003568243,769,0.2576313193529965,1,2751689.63,3578.27,0,0,0,1,0,0,0,0,0,0,0
22477,AW00022477,204687,1,574.98,287.49,146,146,2,279.25,1,existing_not_returned,0,0,1,0,0,0,0,0,0,126.45418359263165,1,0,0,1,0,287.49,3.938219178082192,0,0.4,0.003568243,146,0.3753561870778642,2,83947.08,574.98,0,1,0,0,0,1,0,0,1,0,0
22827,AW00022827,84095,1,89.97,29.99,51,51,3,279.25,1,existing_not_returned,0,0,1,0,0,0,0,0,0,9.034395104,1,0,0,0,0,29.99,1.7641176470588236,0,0.4,0.003568243,51,0.4242916266383038,3,4588.47,89.97,1,0,0,0,0,1,0,1,0,0,0
22851,AW00022851,41293,1,2181.5625,2023.375,444,444,1,279.25,1,existing_returned,0,1,1,0,0,1,0,0,0,74.89185361,1,0,0,0,1,2181.5625,4.913429054054054,0,0.4,0.003568243,444,0.29642275956594477,1,968613.75,2181.5625,0,0,0,1,0,0,1,0,0,0,0
25050,AW00025050,19015,1,2419.06,1209.53,87,87,2,279.25,1,existing_not_returned,0,0,1,0,0,0,0,0,0,5.441484133376148,1,0,0,0,0,1209.53,27.805287356321838,0,0.4,0.003568243,87,0.40332710996029153,2,210458.22,2419.06,1,0,0,0,0,0,0,0,0,0,1
26505,AW00026505,107037,1,59.98,29.99,174,174,2,279.25,1,existing_not_returned,0,0,1,0,1,0,0,0,0,-1,0,-1,0,1,0,29.99,0.3447126436781609,0,0.4,0.003568243,174,0.36422446166042455,2,10436.519999999999,59.98,0,1,0,0,1,0,0,0,0,0,0
26649,AW00026649,531305,1,2049.0982,2023.375,424,424,1,279.25,1,existing_returned,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,2049.0982,4.832778773584906,0,0.4,0.003568243,424,0.29985374275412713,1,868817.6368,2049.0982,0,0,0,1,0,1,0,0,0,0,1
28689,AW00028689,11060000,1,2049.0982,2023.375,465,465,1,279.25,1,existing_not_returned,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,2049.0982,4.406662795698924,0,0.4,0.003568243,465,0.29299818363552343,1,952830.663,2049.0982,0,0,0,1,0,1,0,1,0,0,0
29080,AW00029080,107037,1,777.34,388.67,3,3,2,279.25,1,existing_not_returned,0,0,1,0,1,0,0,0,0,-1,0,-1,1,0,0,388.67,259.11333333333334,0,0.4,0.003568243,3,0.45862482061823684,2,2332.02,777.34,0,0,0,0,0,1,1,0,0,0,0
29817,AW00029817,1488249,2,5302.318749999999,796.096132,89,181,7.5,92,0.666666667,existing_returned,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,706.9758333333333,29.294578729281763,0,0.26666666666640004,0.010752688172043012,181,0.3510819004309483,3.75,471906.36874999997,3534.879166663132,1,0,0,0,0,0,0,0,0,0,1
29916,AW00029916,107037,2,5302.318749999999,929.839198,59,150,7.5,91,0.666666667,existing_returned,1,1,1,1,1,1,0,0,0,-1,0,-1,0,0,0,706.9758333333333,35.34879166666666,0,0.26666666666640004,0.010869565217391304,150,0.3681822532129095,3.75,312836.80624999997,3534.879166663132,1,0,0,0,0,0,0,0,0,0,1
29922,AW00029922,264349,2,5302.318749999999,959.911487,59,150,7.5,91,0.666666667,existing_returned,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,706.9758333333333,35.34879166666666,0,0.26666666666640004,0.010869565217391304,150,0.3681822532129095,3.75,312836.80624999997,3534.879166663132,1,0,0,0,0,0,0,0,0,1,0
