CustomerID,AccountNumber,city,country,latitude,longitude,population,total_orders,total_spent,avg_order_value,days_since_last_purchase,days_since_first_purchase,unique_products,avg_days_between_orders,orders_per_month,customer_cohort,will_buy_soon,will_buy_again_6m,has_purchase_history,has_repeat_order_history,city_class,favorite_category_Bikes,favorite_category_Clothing,favorite_category_Components,favorite_category_Unknown
1,AW00000001,Seattle,United States,47.6013573,-122.3294854,3642006.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
2,AW00000002,Renton,United States,47.4487206,-122.2003346,105317.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
3,AW00000003,Irving,United States,32.8270329,-96.9639722,256492.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
4,AW00000004,Austin,United States,30.2693164,-97.743596,1940039.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
5,AW00000005,Fremont,United States,37.5593463,-122.0015696,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Unknown,0,0,0,1
6,AW00000006,Camarillo,United States,34.2309364,-119.0514277,76945.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
7,AW00000007,Salt Lake City,United States,40.7584336,-111.8975729,1183003.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
8,AW00000008,Miami,United States,25.8102708,-80.2006704,6391670.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
9,AW00000009,Millington,United States,35.327972,-89.871714,11289.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
10,AW00000010,Burnaby,Canada,49.246902935,-122.996963921,249125.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
11,AW00000011,Toronto,Canada,43.710546895727,-79.300285223546,5647656.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
12,AW00000012,Toronto,Canada,43.710546895727,-79.300285223546,5647656.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
13,AW00000013,Les Ulis,France,48.6826716,2.1694179,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Unknown,0,0,0,1
14,AW00000014,Frankfurt Am Main,Germany,50.110879999,8.682433,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Unknown,0,0,0,1
15,AW00000015,Lavender Bay,Australia,-33.8433,151.207,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Unknown,0,0,0,1
16,AW00000016,London,United Kingdom,51.420287318258,-0.207126382835,11262000.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
17,AW00000017,Newport News,United States,36.989631,-76.4225432,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Unknown,0,0,0,1
18,AW00000018,Zeeland,United States,42.8171563,-86.0161872,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Unknown,0,0,0,1
19,AW00000019,Bothell,United States,47.7563652,-122.2023905,49610.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
20,AW00000020,Kent,United States,47.402358,-122.201564,135603.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
21,AW00000021,Irving,United States,32.8270329,-96.9639722,256492.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
22,AW00000022,North Sioux City,United States,42.5252483,-96.5002846,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Unknown,0,0,0,1
23,AW00000023,San Ramon,United States,37.76139,-121.9598902,85993.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
24,AW00000024,Union City,United States,37.5939783,-122.0456352,67464.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
25,AW00000025,El Segundo,United States,33.9190084,-118.4004707,16769.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
26,AW00000026,Miami,United States,25.8102708,-80.2006704,6391670.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
27,AW00000027,Millington,United States,35.327972,-89.871714,11289.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
28,AW00000028,Toronto,Canada,43.710546895727,-79.300285223546,5647656.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
29,AW00000029,Chalk Riber,Canada,46.018246,-77.449344,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Unknown,0,0,0,1
30,AW00000030,Quebec,Canada,46.806965025,-71.218914284,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Unknown,0,0,0,1
31,AW00000031,Paris,France,48.8319164,2.3558551,11060000.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
32,AW00000032,Stuttgart,Germany,48.775816999,9.177734,2787727.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
33,AW00000033,Lavender Bay,Australia,-33.8433,151.207,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Unknown,0,0,0,1
34,AW00000034,Warrington,United Kingdom,53.3839052,-2.5997651,165456.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
35,AW00000035,West Kingston,United States,41.5004457,-71.5899834,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Unknown,0,0,0,1
36,AW00000036,South Bend,United States,41.6709619,-86.2530218,279977.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
37,AW00000037,Puyallup,United States,47.1990211,-122.3119354,42746.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
38,AW00000038,Billings,United States,45.7719654,-108.5111635,129267.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
39,AW00000039,Edina,United States,44.905584,-93.369457,53262.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Small City,0,0,0,1
40,AW00000040,Laredo,United States,27.5138197,-99.500703,257619.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,Major City,0,0,0,1
