CustomerID,AccountNumber,total_orders,total_spent,avg_order_value,days_since_last_purchase,days_since_first_purchase,unique_products,favorite_category,avg_days_between_orders,orders_per_month,will_buy_again
14324,AW00014324,3,5121.4282,1280.35705,134.0,511.0,3,Bikes,188.5,0.25,1
22814,AW00022814,1,4.99,4.99,310.0,310.0,1,Accessories,9999.0,1.0,0
11407,AW00011407,1,53.99,53.99,219.0,219.0,1,Clothing,9999.0,1.0,0
28387,AW00028387,1,583.97,194.656666,71.0,71.0,3,Clothing,9999.0,1.0,1
19897,AW00019897,1,596.96,198.986666,70.0,70.0,3,Accessories,9999.0,1.0,1
15675,AW00015675,3,7206.38,1029.482857,167.0,690.0,7,Bikes,261.5,0.176470588235,1
24165,AW00024165,2,3046.84,1015.613333,168.0,461.0,3,Bikes,293.0,0.2,1
27036,AW00027036,1,7.28,3.64,333.0,333.0,2,Accessories,9999.0,1.0,0
18546,AW00018546,1,29.48,14.74,290.0,290.0,2,Accessories,9999.0,1.0,0
11453,AW00011453,3,8176.98,1362.83,223.0,928.0,6,Accessories,352.5,0.130434782608,0
17195,AW00017195,2,3330.6675,832.666875,179.0,666.0,4,Accessories,487.0,0.125,1
17026,AW00017026,3,261.39,26.139,314.0,334.0,9,Accessories,10.0,3.0,0
22768,AW00022768,1,600.46,150.115,284.0,284.0,4,Accessories,9999.0,1.0,0
28433,AW00028433,1,32.6,32.6,37.0,37.0,1,Accessories,9999.0,1.0,1
27082,AW00027082,1,782.99,782.99,646.0,646.0,1,Bikes,9999.0,1.0,0
15844,AW00015844,2,3134.95,783.7375,126.0,464.0,4,Accessories,338.0,0.181818181818,1
12758,AW00012758,1,74.98,24.993333,247.0,247.0,3,Accessories,9999.0,1.0,0
21463,AW00021463,1,23.97,7.99,174.0,174.0,3,Accessories,9999.0,1.0,1
18377,AW00018377,1,2394.97,598.7425,114.0,114.0,4,Accessories,9999.0,1.0,1
25562,AW00025562,2,1239.0882,619.5441,94.0,1026.0,2,Bikes,932.0,0.066666666666,1
14155,AW00014155,2,5993.26,1997.753333,115.0,1006.0,3,Bikes,891.0,0.066666666666,1
11576,AW00011576,2,4486.4096,1495.469866,311.0,409.0,3,Bikes,98.0,0.666666666666,0
17149,AW00017149,1,1735.98,867.99,232.0,232.0,2,Accessories,9999.0,1.0,0
25639,AW00025639,1,1228.83,409.61,103.0,103.0,3,Accessories,9999.0,1.0,1
12804,AW00012804,2,5948.23,1189.646,66.0,848.0,5,Accessories,782.0,0.08,1
15798,AW00015798,2,98.96,24.74,232.0,291.0,4,Accessories,59.0,1.0,0
12927,AW00012927,2,108.46,21.692,189.0,276.0,5,Accessories,87.0,0.666666666666,0
26913,AW00026913,1,607.96,151.99,213.0,213.0,4,Accessories,9999.0,1.0,0
24288,AW00024288,1,71.58,23.86,114.0,114.0,3,Accessories,9999.0,1.0,1
14447,AW00014447,2,3385.3975,677.0795,202.0,438.0,5,Bikes,236.0,0.25,0
25516,AW00025516,1,21.49,21.49,305.0,305.0,1,Accessories,9999.0,1.0,0
16857,AW00016857,1,54.98,27.49,269.0,269.0,2,Accessories,9999.0,1.0,0
14278,AW00014278,2,177.46,35.492,157.0,193.0,5,Accessories,36.0,2.0,1
25685,AW00025685,1,21.49,21.49,181.0,181.0,1,Accessories,9999.0,1.0,0
15506,AW00015506,2,1552.48,776.24,54.0,554.0,2,Bikes,500.0,0.117647058823,1
13096,AW00013096,4,230.68,17.744615,20.0,105.0,11,Accessories,28.3333333333333,1.333333333333,1
26867,AW00026867,1,1728.27,576.09,56.0,56.0,3,Accessories,9999.0,1.0,1
24334,AW00024334,1,574.98,287.49,47.0,47.0,2,Accessories,9999.0,1.0,1
15629,AW00015629,1,39.98,19.99,28.0,28.0,2,Accessories,9999.0,1.0,1
13986,AW00013986,2,1893.9075,473.476875,311.0,751.0,4,Clothing,440.0,0.142857142857,0
